num_seen,message,empathy,parsed,labels,inds,num_words,polarity
1,positive yet neutral,average,positive yet neutral,4,[   0 1145 1712 1023    1],3,0.0
1,good pretty neutral honestly,average,good pretty neutral honestly,4,[   0  646 1160 1023  758    1],4,0.0
1,i feel a little better but not great,average,i feel a little better but not great,4,[   0  788  548    3  895  138  202 1044  670    1],8,0.0
1,average i am quite happy ,average,average i am quite happy ,4,[   0   98  788   53 1184  703    1],5,0.0
1,neutral to slightly happy,average,neutral to slightly happy,4,[   0 1023 1525 1341  703    1],4,0.0
1,less than great,average,less than great,4,[   0  876 1482  670    1],3,0.0
1,im neutral no joy no happy,average,im neutral no joy no happy,4,[   0  801 1023 1033  842 1033  703    1],6,0.0
1,well fine,average,well fine,4,[   0 1644  569    1],2,0.0
1,well trying not to focus on the negarive its a day by day struggle for success,average,well trying not to focus on the negarive its a day by day struggle for success,4,"[   0 1644 1550 1044 1525  581 1065 1488 1018  834    3  334  204  334 1411
  584 1421    1]",16,0.0
1,not quite happy but almost,average,not quite happy but almost,4,[   0 1044 1184  703  202   43    1],5,0.0
1,ok but not so good,average,ok but not so good,4,[   0 1060  202 1044 1349  646    1],5,0.0
1,good but not too too good,average,good but not too too good,4,[   0  646  202 1044 1536 1536  646    1],6,0.0
1,middle of the road slightly happy,average,middle of the road slightly happy,4,[   0  955 1055 1488 1245 1341  703    1],6,0.0
1,middlegood but not happy,average,middlegood but not happy,4,[   0  956  202 1044  703    1],4,0.0
1,i dont feel as good as i could be,average,i dont feel as good as i could be,4,[  0 788 407 548  84 646  84 788 301 119   1],9,0.0
1,glad for à friend and not always good,average,glad for   friend and not always good,4,[   0  634  584  594   60 1044   52  646    1],7,0.0
1,average if not pretty good,average,average if not pretty good,4,[   0   98  794 1044 1160  646    1],5,0.0
1,not very good but expecting a better future,average,not very good but expecting a better future,4,[   0 1044 1609  646  202  516    3  138  615    1],8,0.0
1,well i have been better,average,well i have been better,4,[   0 1644  788  716  130  138    1],5,0.0
1,um id say im okay not in a happy mood just ok,average,um id say im okay not in a happy mood just ok,4,[   0 1558  791 1267  801 1061 1044  806    3  703  982  844 1060    1],12,0.0
1,just okay not great,average,just okay not great,4,[   0  844 1061 1044  670    1],4,0.0
1,i feel ok but not happy,average,i feel ok but not happy,4,[   0  788  548 1060  202 1044  703    1],6,0.0
1,ok positive side of neutral,average,ok positive side of neutral,4,[   0 1060 1145 1327 1055 1023    1],5,0.0
1,ok not great,average,ok not great,4,[   0 1060 1044  670    1],3,0.0
1,pretty average i guess more optimistic tbh,average,pretty average i guess more optimistic tbh,4,[   0 1160   98  788  681  986 1073 1462    1],7,0.0
1,pretty average happy that i dont have to work tomorrow,average,pretty average happy that i dont have to work tomorrow,4,[   0 1160   98  703 1486  788  407  716 1525 1685 1532    1],10,0.0
1,im okay not great but okay,average,im okay not great but okay,4,[   0  801 1061 1044  670  202 1061    1],6,0.0
1,okay not great,average,okay not great,4,[   0 1061 1044  670    1],3,0.0
1,not that happy,average,not that happy,4,[   0 1044 1486  703    1],3,0.0
1,poor but coping well at the moment,average,poor but coping well at the moment,4,[   0 1144  202  299 1644   92 1488  978    1],7,0.0
1,i am feeling normal not so great,average,i am feeling normal not so great,4,[   0  788   53  550 1037 1044 1349  670    1],7,0.0
1,neutral but a good neutral,average,neutral but a good neutral,4,[   0 1023  202    3  646 1023    1],5,0.0
1,i am slightly happy,average,i am slightly happy,4,[   0  788   53 1341  703    1],4,0.0
1,no great but i dont know why,average,no great but i dont know why,4,[   0 1033  670  202  788  407  856 1659    1],7,0.0
1,im okay happy with work but okay with other stuff,average,im okay happy with work but okay with other stuff,4,[   0  801 1061  703 1670 1685  202 1061 1670 1077 1416    1],10,0.0
1,middle of the road i feel fine but not great,average,middle of the road i feel fine but not great,4,[   0  955 1055 1488 1245  788  548  569  202 1044  670    1],10,0.0
1,not happy not saf,average,not happy not saf,4,[   0 1044  703 1044 1257    1],4,0.0
1,im feeling alright but not especially good,average,im feeling alright but not especially good,4,[   0  801  550   47  202 1044  487  646    1],7,0.0
1,mediocre happy,average,mediocre happy,4,[  0 945 703   1],2,0.0
1,i feel good but could be better,average,i feel good but could be better,4,[  0 788 548 646 202 301 119 138   1],7,0.0
1,kinda good mostly neutral,average,kinda good mostly neutral,4,[   0  854  646  990 1023    1],4,0.0
1,bleh sorta middle road and,average,bleh sorta middle road and,4,[   0  154 1372  955 1245   60    1],5,0.0
2,not good not bad,average,not good not bad,4,[   0 1044  646 1044  110    1],4,0.0
2,semi happy,average,semi happy,4,[   0 1287  703    1],2,0.0
2,almost good,average,almost good,4,[  0  43 646   1],2,0.0
1,well neutral,average,well neutral,4,[   0 1644 1023    1],2,0.0
1,this morning i woke up in a really bad mood even after i ate then i had some tea and my energy increased and i felt better,better,this morning i woke up in a really bad mood even after i ate then i had some tea and my energy increased and i felt better,5,"[   0 1503  988  788 1676 1591  806    3 1201  110  982  490   32  788   93
 1491  788  686 1355 1463   60 1004  472  809   60  788  557  138    1]",27,0.2
1,better than i have been ive not had a depression spike for a while,better,better than i have been ive not had a depression spike for a while,5,"[   0  138 1482  788  716  130  836 1044  686    3  362 1380  584    3 1656
    1]",14,0.2
1,more good than bad,better,more good than bad,5,[   0  986  646 1482  110    1],4,0.2
1,been quite low the last couple of days but starting to feel better,better,been quite low the last couple of days but starting to feel better,5,[   0  130 1184  916 1488  862  302 1055  336  202 1388 1525  548  138    1],13,0.2
1,today i felt depressed but now im better,better,today i felt depressed but now im better,5,[   0 1527  788  557  361  202 1049  801  138    1],8,0.2
1,slightly less depressed,better,slightly less depressed,5,[   0 1341  876  361    1],3,0.2
1,not bad i got lots of sleep last night and my friends in group therapy are all lovely and wonderful so they put me in a good mood i also got a fair bit of storying done,better,not bad i got lots of sleep last night and my friends in group therapy are all lovely and wonderful so they put me in a good mood i also got a fair bit of storying done,5,"[   0 1044  110  788  658  909 1055 1337  862 1029   60 1004  597  806  679
 1493   80   39  913   60 1679 1349 1497 1177  941  806    3  646  982  788
   48  658    3  530  148 1055 1404  406    1]",37,0.2
1,hmm glad that i will leave this place sad that im not gonna see the kids that im working with anymore,better,hmm glad that i will leave this place sad that im not gonna see the kids that im working with anymore,5,"[   0  748  634 1486  788 1661  872 1503 1133 1255 1486  801 1044  645 1277
 1488  852 1486  801 1688 1670   71    1]",21,0.2
1,better but not good yet,better,better but not good yet,5,[   0  138  202 1044  646 1712    1],5,0.2
1,im feeling good i met with friends and dont have any panic about work,better,im feeling good i met with friends and dont have any panic about work,5,"[   0  801  550  646  788  954 1670  597   60  407  716   69 1097    7 1685
    1]",14,0.2
1,i feel good best i’ve been so far,better,i feel good best i ve been so far,5,[   0  788  548  646  136  788 1604  130 1349  537    1],9,0.2
1,a little bit better not great but better,better,a little bit better not great but better,5,[   0    3  895  148  138 1044  670  202  138    1],8,0.2
1,i feel good i feel much better than yestarday,better,i feel good i feel much better than yestarday,5,[   0  788  548  646  788  548  999  138 1482 1710    1],9,0.2
1,i am good a little better than ok i think the book is helping a lot,better,i am good a little better than ok i think the book is helping a lot,5,"[   0  788   53  646    3  895  138 1482 1060  788 1501 1488  169  828  738
    3  908    1]",16,0.2
1,good feel better than 2 weeks ago,better,good feel better than   weeks ago,5,[   0  646  548  138 1482 1640   34    1],6,0.2
1,i feel better than i have in a while so thats good,better,i feel better than i have in a while so thats good,5,[   0  788  548  138 1482  788  716  806    3 1656 1349 1487  646    1],12,0.2
1,happy but that can change,better,happy but that can change,5,[   0  703  202 1486  211  228    1],5,0.2
1,bored and slightly depressed,bored,bored and slightly depressed,6,[   0  173   60 1341  361    1],4,-0.1
1,bored as shit,bored,bored as shit,6,[   0  173   84 1307    1],3,-0.1
1,bored tired disappointed,bored,bored tired disappointed,6,[   0  173 1522  386    1],3,-0.1
1,bored and hopeless,bored,bored and hopeless,6,[  0 173  60 762   1],3,-0.1
1,good calm a little low,calm,good calm a little low,7,[  0 646 207   3 895 916   1],5,1.0
1,feel calm down,calm,feel calm down,7,[  0 548 207 414   1],3,1.0
1,calmo down,calm,calmo down,7,[  0 208 414   1],2,1.0
1,im feeling pretty goodrelaxed,calm,im feeling pretty goodrelaxed,7,[   0  801  550 1160  653    1],4,1.0
1,im feeling good laid back,calm,im feeling good laid back,7,[  0 801 550 646 860 109   1],5,1.0
1,subdued but glad,calm,subdued but glad,7,[   0 1420  202  634    1],3,1.0
1,i feel goodand relax,calm,i feel goodand relax,7,[   0  788  548  647 1220    1],4,1.0
1,im superrr cozy and chill,calm,im superrr cozy and chill,7,[   0  801 1435  308   60  240    1],5,1.0
1,alright i shared a feminist post on facebook i did get some reacts and eventhough some people didnt agree with me i think we had a good discussion,confidence,alright i shared a feminist post on facebook i did get some reacts and eventhough some people didnt agree with me i think we had a good discussion,8,"[   0   47  788 1300    3  558 1147 1065  526  788  377  627 1355 1196   60
  491 1355 1112  378   36 1670  941  788 1501 1633  686    3  646  389    1]",28,1.0
1,good dont really care about what people think about me,confidence,good dont really care about what people think about me,8,[   0  646  407 1201  215    7 1650 1112 1501    7  941    1],10,1.0
1,grounded pleased with myself and my efforts today,confidence,grounded pleased with myself and my efforts today,8,[   0  678 1139 1670 1006   60 1004  449 1527    1],8,1.0
1,i feel good been working like hell the past few days thats why i havent talked to you lately got superb results on my pieces and a feeling of completion,confidence,i feel good been working like hell the past few days thats why i havent talked to you lately got superb results on my pieces and a feeling of completion,8,"[   0  788  548  646  130 1688  887  735 1488 1108  559  336 1487 1659  788
  717 1455 1525 1714  865  658 1432 1231 1065 1004 1127   60    3  550 1055
  276    1]",30,1.0
1,pretty good getting ready for a test,confidence,pretty good getting ready for a test,8,[   0 1160  646  628 1198  584    3 1479    1],7,1.0
1,im feeling a bit confused kind of down mostly confused,confused,im feeling a bit confused kind of down mostly confused,9,[   0  801  550    3  148  284  853 1055  414  990  284    1],10,-0.1
1,sad and fuzzy and confused,confused,sad and fuzzy and confused,9,[   0 1255   60  616   60  284    1],5,-0.1
1,confuse but good,confused,confuse but good,9,[  0 283 202 646   1],3,-0.1
1,ok i guess been drawing happy with the result but im up too late,creative,ok i guess been drawing happy with the result but im up too late,10,"[   0 1060  788  681  130  418  703 1670 1488 1230  202  801 1591 1536  864
    1]",14,1.0
1,optimistic creative,creative,optimistic creative,10,[   0 1073  315    1],2,1.0
1,depress,depressed,depress,11,[  0 360   1],1,-1.0
1,depressed sad angry at myself,depressed,depressed sad angry at myself,11,[   0  361 1255   61   92 1006    1],5,-1.0
1,kind of depressed which is not new to me,depressed,kind of depressed which is not new to me,11,[   0  853 1055  361 1655  828 1044 1025 1525  941    1],9,-1.0
1,low depressed,depressed,low depressed,11,[  0 916 361   1],2,-1.0
1,feeling quite down my depression has flared up a lot in the last couple of days,depressed,feeling quite down my depression has flared up a lot in the last couple of days,11,"[   0  550 1184  414 1004  362  712  575 1591    3  908  806 1488  862  302
 1055  336    1]",16,-1.0
1,tired depressed sad missing home,depressed,tired depressed sad missing home,11,[   0 1522  361 1255  970  752    1],5,-1.0
1,depressed down,depressed,depressed down,11,[  0 361 414   1],2,-1.0
1,drained  depressed,depressed,drained  depressed,11,[  0 416 361   1],2,-1.0
1,im feeling regretful and depressed,depressed,im feeling regretful and depressed,11,[   0  801  550 1213   60  361    1],5,-1.0
1,a little down a bit depressed,depressed,a little down a bit depressed,11,[  0   3 895 414   3 148 361   1],6,-1.0
1,i feel less energetic depressed,depressed,i feel less energetic depressed,11,[  0 788 548 876 470 361   1],5,-1.0
1,depressed for no reason,depressed,depressed for no reason,11,[   0  361  584 1033 1203    1],4,-1.0
1,depressed and betrayed,depressed,depressed and betrayed,11,[  0 361  60 137   1],3,-1.0
1,my antidepressants arent working well so not great,depressed,my antidepressants arent working well so not great,11,[   0 1004   67   81 1688 1644 1349 1044  670    1],8,-1.0
1,i feel alright just kinda depressed,depressed,i feel alright just kinda depressed,11,[  0 788 548  47 844 854 361   1],6,-1.0
1,hopeless like theres no way out,depressed,hopeless like theres no way out,11,[   0  762  887 1495 1033 1632 1081    1],6,-1.0
1,sad very very sad and numb,depressed,sad very very sad and numb,11,[   0 1255 1609 1609 1255   60 1052    1],6,-1.0
1,dissapointed depressed,depressed,dissapointed depressed,11,[  0 394 361   1],2,-1.0
1,i feel empty im sad and broken as always,depressed,i feel empty im sad and broken as always,11,[   0  788  548  466  801 1255   60  191   84   52    1],9,-1.0
1,stagnant hopeless,depressed,stagnant hopeless,11,[   0 1385  762    1],2,-1.0
1,a bit depressed,depressed,a bit depressed,11,[  0   3 148 361   1],3,-1.0
1,im depressed,depressed,im depressed,11,[  0 801 361   1],2,-1.0
1,depressed miserable,depressed,depressed miserable,11,[  0 361 967   1],2,-1.0
1,im feeling a little depressed,depressed,im feeling a little depressed,11,[  0 801 550   3 895 361   1],5,-1.0
1,depression comes and goes,depressed,depression comes and goes,11,[  0 362 266  60 643   1],4,-1.0
1,raw sad little depressed,depressed,raw sad little depressed,11,[   0 1193 1255  895  361    1],4,-1.0
1,stable but depressed,depressed,stable but depressed,11,[   0 1384  202  361    1],3,-1.0
1,severely deppressed,depressed,severely deppressed,11,[   0 1293  359    1],2,-1.0
1,quite depressed,depressed,quite depressed,11,[   0 1184  361    1],2,-1.0
1,depressed self hating disappointed,depressed,depressed self hating disappointed,11,[   0  361 1282  715  386    1],4,-1.0
1,fatigued hungry depressed,depressed,fatigued hungry depressed,11,[  0 542 781 361   1],3,-1.0
1,depressed tired and sad,depressed,depressed tired and sad,11,[   0  361 1522   60 1255    1],4,-1.0
1,hot depressed headachey,depressed,hot depressed headachey,11,[  0 769 361 725   1],3,-1.0
1,depress a bit sad and tired,depressed,depress a bit sad and tired,11,[   0  360    3  148 1255   60 1522    1],6,-1.0
1,really low and empty and im in a dark place right now,depressed,really low and empty and im in a dark place right now,11,[   0 1201  916   60  466   60  801  806    3  329 1133 1240 1049    1],12,-1.0
1,confused and depressed and frustrated,depressed,confused and depressed and frustrated,11,[  0 284  60 361  60 600   1],5,-1.0
1,bad sad depressed feeling down,depressed,bad sad depressed feeling down,11,[   0  110 1255  361  550  414    1],5,-1.0
1,depressed because i have all of these wants dreams and desires but it seems as though they will always be stifled,depressed,depressed because i have all of these wants dreams and desires but it seems as though they will always be stifled,11,"[   0  361  126  788  716   39 1055 1496 1626  421   60  365  202  832 1280
   84 1505 1497 1661   52  119 1396    1]",21,-1.0
1,feeling depressed,depressed,feeling depressed,11,[  0 550 361   1],2,-1.0
1,well depressed,depressed,well depressed,11,[   0 1644  361    1],2,-1.0
1,a little sad depression is still here,depressed,a little sad depression is still here,11,[   0    3  895 1255  362  828 1397  742    1],7,-1.0
1,terrible depressed broken sad,depressed,terrible depressed broken sad,11,[   0 1476  361  191 1255    1],4,-1.0
1,depressed and weird,depressed,depressed and weird,11,[   0  361   60 1642    1],3,-1.0
1,low and depressed and tired,depressed,low and depressed and tired,11,[   0  916   60  361   60 1522    1],5,-1.0
1,depressed tired,depressed,depressed tired,11,[   0  361 1522    1],2,-1.0
1,depressed and torn,depressed,depressed and torn,11,[   0  361   60 1537    1],3,-1.0
1,bad depressed,depressed,bad depressed,11,[  0 110 361   1],2,-1.0
1,im in a kinda depressed mood,depressed,im in a kinda depressed mood,11,[  0 801 806   3 854 361 982   1],6,-1.0
1,angry and depressed,depressed,angry and depressed,11,[  0  61  60 361   1],3,-1.0
1,depressed and sad,depressed,depressed and sad,11,[   0  361   60 1255    1],3,-1.0
1,im feeling tired and depressed but hopeful,depressed,im feeling tired and depressed but hopeful,11,[   0  801  550 1522   60  361  202  760    1],7,-1.0
1,depressed angry,depressed,depressed angry,11,[  0 361  61   1],2,-1.0
1,stress and depression from losing home,depressed,stress and depression from losing home,11,[   0 1405   60  362  599  905  752    1],6,-1.0
1,depressed as usual,depressed,depressed as usual,11,[   0  361   84 1598    1],3,-1.0
1,depressed terrible worthless,depressed,depressed terrible worthless,11,[   0  361 1476 1696    1],3,-1.0
1,im feeling okay today i was a little depressed thinking about bad things,depressed,im feeling okay today i was a little depressed thinking about bad things,11,[   0  801  550 1061 1527  788 1627    3  895  361 1502    7  110 1500    1],13,-1.0
1,feeling depressed and like a loser,depressed,feeling depressed and like a loser,11,[  0 550 361  60 887   3 904   1],6,-1.0
1,i feel scattered and depressed,depressed,i feel scattered and depressed,11,[   0  788  548 1269   60  361    1],5,-1.0
1,frustrated and depressed,depressed,frustrated and depressed,11,[  0 600  60 361   1],3,-1.0
1,depressed stressed withdrawal,depressed,depressed stressed withdrawal,11,[   0  361 1406 1671    1],3,-1.0
1,little depressed and unmotivated,depressed,little depressed and unmotivated,11,[   0  895  361   60 1580    1],4,-1.0
1,depressed uneasy,depressed,depressed uneasy,11,[   0  361 1569    1],2,-1.0
1,depresst sad,depressed,depresst sad,11,[   0  363 1255    1],2,-1.0
1,seem to be waking up and just doing without necessarily feeling positive,depressed,seem to be waking up and just doing without necessarily feeling positive,11,[   0 1279 1525  119 1622 1591   60  844  405 1672 1012  550 1145    1],12,-1.0
2,down depressed,depressed,down depressed,11,[  0 414 361   1],2,-1.0
2,really depressed,depressed,really depressed,11,[   0 1201  361    1],2,-1.0
2,i feel depressed,depressed,i feel depressed,11,[  0 788 548 361   1],3,-1.0
2,sad depressed,depressed,sad depressed,11,[   0 1255  361    1],2,-1.0
2,very depressed,depressed,very depressed,11,[   0 1609  361    1],2,-1.0
2,depressed and scared,depressed,depressed and scared,11,[   0  361   60 1268    1],3,-1.0
3,tired depressed,depressed,tired depressed,11,[   0 1522  361    1],2,-1.0
3,slightly depressed,depressed,slightly depressed,11,[   0 1341  361    1],2,-1.0
5,a little depressed,depressed,a little depressed,11,[  0   3 895 361   1],3,-1.0
5,depression,depressed,depression,11,[  0 362   1],1,-1.0
141,depressed,depressed,depressed,11,[  0 361   1],1,-1.0
1,i am feeling good and detemined,determined,i am feeling good and detemined,12,[  0 788  53 550 646  60 372   1],6,0.5
1,i am feeling good ready to do some hard work for my personal life and my business,determined,i am feeling good ready to do some hard work for my personal life and my business,12,"[   0  788   53  550  646 1198 1525  400 1355  711 1685  584 1004 1120  882
   60 1004  201    1]",17,0.5
1,happy productive,determined,happy productive,12,[   0  703 1168    1],2,0.5
1,a little bit happy and having some goals,determined,a little bit happy and having some goals,12,[   0    3  895  148  703   60  718 1355  641    1],8,0.5
1,pretty good well behind on work but ready to roll,determined,pretty good well behind on work but ready to roll,12,[   0 1160  646 1644  133 1065 1685  202 1198 1525 1246    1],10,0.5
1,got a fair amount accomplished today  feeling ok,determined,got a fair amount accomplished today  feeling ok,12,[   0  658    3  530   56   14 1527  550 1060    1],8,0.5
1,motivated to do my work 👌🏽,determined,motivated to do my work   ,12,[   0  992 1525  400 1004 1685    1],5,0.5
1,i feel good gonna be a productive day ,determined,i feel good gonna be a productive day ,12,[   0  788  548  646  645  119    3 1168  334    1],8,0.5
1,good im feeling happy and motivated,determined,good im feeling happy and motivated,12,[  0 646 801 550 703  60 992   1],6,0.5
1,pretty good got a few things to get done but had a pretty productive day,determined,pretty good got a few things to get done but had a pretty productive day,12,"[   0 1160  646  658    3  559 1500 1525  627  406  202  686    3 1160 1168
  334    1]",15,0.5
1,motivated to have good grades in university,determined,motivated to have good grades in university,12,[   0  992 1525  716  646  661  806 1579    1],7,0.5
1,im feeling alright had a long day at work but feel accomplished and now rewarding myself with some ice cream,determined,im feeling alright had a long day at work but feel accomplished and now rewarding myself with some ice cream,12,"[   0  801  550   47  686    3  899  334   92 1685  202  548   14   60 1049
 1236 1006 1670 1355  790  314    1]",20,0.5
1,pretty satisfied and motivated,determined,pretty satisfied and motivated,12,[   0 1160 1263   60  992    1],4,0.5
1,good mood motivated,determined,good mood motivated,12,[  0 646 982 992   1],3,0.5
1,quite productive,determined,quite productive,12,[   0 1184 1168    1],2,0.5
1,i feel good todayafter days today was a good and productive day,determined,i feel good todayafter days today was a good and productive day,12,[   0  788  548  646 1528  336 1527 1627    3  646   60 1168  334    1],12,0.5
1,i feel very motivated today i feel like if i push hard i can get the things that i need to get done to be done,determined,i feel very motivated today i feel like if i push hard i can get the things that i need to get done to be done,12,"[   0  788  548 1609  992 1527  788  548  887  794  788 1176  711  788  211
  627 1488 1500 1486  788 1014 1525  627  406 1525  119  406    1]",26,0.5
1,im feeling positive and determined and determined to stay on task,determined,im feeling positive and determined and determined to stay on task,12,[   0  801  550 1145   60  373   60  373 1525 1391 1065 1460    1],11,0.5
1,im fine had a productive day,determined,im fine had a productive day,12,[   0  801  569  686    3 1168  334    1],6,0.5
1,motivated but not there,determined,motivated but not there,12,[   0  992  202 1044 1494    1],4,0.5
1,im happy and raring to go,determined,im happy and raring to go,12,[   0  801  703   60 1191 1525  639    1],6,0.5
1,motivated and creative,determined,motivated and creative,12,[  0 992  60 315   1],3,0.5
1,happy a bit motivated,determined,happy a bit motivated,12,[  0 703   3 148 992   1],4,0.5
1,okay getting myself motivated for the day,determined,okay getting myself motivated for the day,12,[   0 1061  628 1006  992  584 1488  334    1],7,0.5
1,ok getting some things accomplished,determined,ok getting some things accomplished,12,[   0 1060  628 1355 1500   14    1],5,0.5
1,accomplished a lot of cleaning,determined,accomplished a lot of cleaning,12,[   0   14    3  908 1055  252    1],5,0.5
1,good a little motivated,determined,good a little motivated,12,[  0 646   3 895 992   1],4,0.5
1,i feel motivated and joyful,determined,i feel motivated and joyful,12,[  0 788 548 992  60 843   1],5,0.5
1,ok motivated,determined,ok motivated,12,[   0 1060  992    1],2,0.5
1,good  relatively motivated,determined,good  relatively motivated,12,[   0  646 1219  992    1],3,0.5
1,i feel good i got a lot done today and i have a job interview i really want,determined,i feel good i got a lot done today and i have a job interview i really want,12,"[   0  788  548  646  788  658    3  908  406 1527   60  788  716    3  840
  824  788 1201 1624    1]",18,0.5
1,im feeling productive which is good,determined,im feeling productive which is good,12,[   0  801  550 1168 1655  828  646    1],6,0.5
1,im feeling somewhat more motivated than i have in the past few weeks,determined,im feeling somewhat more motivated than i have in the past few weeks,12,[   0  801  550 1361  986  992 1482  788  716  806 1488 1108  559 1640    1],13,0.5
1,im feeling good i am motivated,determined,im feeling good i am motivated,12,[  0 801 550 646 788  53 992   1],6,0.5
1,full of energy and motivated,determined,full of energy and motivated,12,[   0  609 1055  472   60  992    1],5,0.5
1,i am feeling accomplished,determined,i am feeling accomplished,12,[  0 788  53 550  14   1],4,0.5
1,im feeling positive and productive,determined,im feeling positive and productive,12,[   0  801  550 1145   60 1168    1],5,0.5
